time,teacher_id,class_id,base_chapters,base_sections,style,rank,tag,day,chapter_id,cnt,label
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87187,87188,87189,87190",20100,9,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87187,87188,87190",20100,10,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87186,87188,87189",20100,11,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87189",20100,12,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87186,87187,87188,87189",20100,13,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87186,87187,87188,87189,87190",20100,14,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87188,87189,87190",20100,15,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87188,87189",20100,16,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87187,87188,87189",20100,17,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87187,87188,87189",20100,18,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87184,87185,87186,87187,87188,87189,87190",20100,19,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87186,87187,87188",20100,20,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87187,87188,87189,87190",20100,21,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87184,87188,87189,87190",20100,22,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87183,87184,87185,87188",20100,23,view,2019-09-02,87182,,0
2019-09-02 17:41:16,992853,1640347,87182,"87184,87185,87188,87189,87190",20100,24,click,2019-09-02,87182,1.0,1
2019-09-02 18:02:50,1058801,3578428,87097,87098,10100,1,click,2019-09-02,87097,1.0,1
2019-09-02 11:56:13,1089861,945304,87097,87098,10100,1,click,2019-09-02,87097,1.0,1
2019-09-02 12:22:44,1120409,3685105,86889,86890,10100,1,click,2019-09-02,86889,1.0,1
2019-09-02 16:25:15,1155157,1161788,86794,86795,10100,1,click,2019-09-02,86794,1.0,1
2019-09-02 15:16:25,1155690,3681735,89761,89772,10100,1,click,2019-09-02,89761,1.0,1
2019-09-02 13:58:18,1156265,1163006,86889,86890,10100,1,click,2019-09-02,86889,1.0,1
2019-09-02 19:15:52,1199516,1205540,86791,"86792,86793",20110,1,view,2019-09-02,86791,,0
2019-09-02 19:15:52,1199516,1205540,86791,86792,10110,2,click,2019-09-02,86791,1.0,1
2019-09-02 19:20:25,1199516,1205540,86791,86793,10100,3,view,2019-09-02,86791,,0
2019-09-02 19:20:25,1199516,1205540,"86791,86794","86792,86793,86795,86796,86797,86798",30010,4,view,2019-09-02,86791,,0
2019-09-02 19:20:25,1199516,1205540,86791,86793,10110,5,view,2019-09-02,86791,,0
2019-09-02 19:20:25,1199516,1205540,86791,"86792,86793",20100,6,view,2019-09-02,86791,,0
2019-09-02 19:20:25,1199516,1205540,86791,86793,10010,7,view,2019-09-02,86791,,0
2019-09-02 19:20:25,1199516,1205540,86791,"86792,86793",20010,8,view,2019-09-02,86791,,0
2019-09-02 19:20:25,1199516,1205540,86791,86792,10010,9,click,2019-09-02,86791,1.0,1
2019-09-02 16:55:34,1234147,1237851,87097,87098,10100,1,click,2019-09-02,87097,1.0,1
2019-09-02 16:55:54,1234147,1237851,87097,"87098,87100,87101,87102,87103,87104,87105",20100,2,click,2019-09-02,87097,,0
2019-09-02 19:53:43,1265095,1268685,86889,86890,10100,1,click,2019-09-02,86889,1.0,1
2019-09-02 20:58:14,1277292,1280915,87097,87101,10110,1,click,2019-09-02,87097,1.0,1
2019-09-02 14:38:25,1330039,2497183,54456,54457,10100,1,click,2019-09-02,54456,1.0,1
2019-09-02 11:14:54,1358831,1997208,86794,86795,10100,1,click,2019-09-02,86794,1.0,1
2019-09-02 12:02:17,1417696,2478463,86991,86996,10100,1,view,2019-09-02,86991,,0
2019-09-02 12:02:17,1417696,2478463,86991,86993,10010,2,click,2019-09-02,86991,1.0,1
2019-09-02 14:24:56,1442669,1448769,87839,"87840,87841",20100,1,click,2019-09-02,87839,1.0,1
2019-09-02 14:26:46,1443981,3688810,86791,86792,10100,1,click,2019-09-02,86791,1.0,1
2019-09-02 13:51:21,1453791,1459660,86889,86890,10100,1,click,2019-09-02,86889,1.0,1
2019-09-02 13:52:43,1453791,1459660,86889,505110,10100,2,view,2019-09-02,86889,,0
2019-09-02 13:52:43,1453791,1459660,86889,86891,10100,3,click,2019-09-02,86889,,0
2019-09-02 03:39:59,1472697,1477333,87347,87350,10100,1,click,2019-09-02,87347,1.0,1
2019-09-02 09:11:58,1478379,2853691,54456,54457,10100,1,view,2019-09-02,54456,,0
2019-09-02 09:11:58,1478379,2853691,54456,505298,10100,2,view,2019-09-02,54456,,0
2019-09-02 09:11:58,1478379,2853691,54456,"54457,54458,54459,505298",20100,3,click,2019-09-02,54456,1.0,1
2019-09-02 15:44:02,1521013,3686997,87097,87098,10100,1,click,2019-09-02,87097,1.0,1
2019-09-02 15:56:59,1591134,3133136,54456,54458,10010,1,view,2019-09-02,54456,,0
2019-09-02 15:56:59,1591134,3133136,54456,54457,10100,2,click,2019-09-02,54456,1.0,1
2019-09-02 19:35:04,1595572,1605699,87326,87328,10100,1,click,2019-09-02,87326,1.0,1
2019-09-02 14:45:17,1711369,1703169,86889,86890,10100,1,click,2019-09-02,86889,1.0,1
2019-09-02 11:19:52,1717167,3688418,54456,54457,10100,1,click,2019-09-02,54456,1.0,1
2019-09-02 19:28:49,1774551,1760292,86791,86792,10100,1,click,2019-09-02,86791,1.0,1
2019-09-02 20:28:32,1797044,1781452,54377,54379,10100,1,click,2019-09-02,54377,1.0,1
2019-09-02 15:59:18,1816123,3685329,54377,54379,10100,1,click,2019-09-02,54377,1.0,1
2019-09-02 14:05:00,1986883,1971374,86889,86890,10100,1,click,2019-09-02,86889,1.0,1
2019-09-02 21:45:57,1994403,1978184,86791,86792,10100,1,click,2019-09-02,86791,1.0,1
2019-09-02 21:24:59,1994403,3309999,86791,86792,10100,1,click,2019-09-02,86791,1.0,1
2019-09-02 14:52:06,2004374,3682641,54380,54381,10100,1,click,2019-09-02,54380,1.0,1
2019-09-02 12:45:09,2125461,2563455,54456,54457,10100,1,click,2019-09-02,-1,1.0,1
2019-09-02 15:39:00,2145533,2094329,86991,86992,10100,1,view,2019-09-02,86991,,0
2019-09-02 15:39:00,2145533,2094329,86991,86994,10100,2,view,2019-09-02,86991,,0
2019-09-02 15:39:00,2145533,2094329,86991,86996,10100,3,click,2019-09-02,86991,1.0,1
2019-09-02 16:51:38,2165068,2110563,86791,"86792,86793",20110,1,view,2019-09-02,86791,,0
2019-09-02 16:51:38,2165068,2110563,86791,86792,10110,2,click,2019-09-02,86791,1.0,1
2019-09-02 17:00:43,2238612,2693225,55385,55386,10010,1,click,2019-09-02,55385,1.0,1
2019-09-02 19:57:08,2333097,3689542,54456,54457,10100,1,click,2019-09-02,54456,1.0,1
2019-09-02 21:01:05,2343249,3493277,55385,55386,10100,1,click,2019-09-02,55385,1.0,1
2019-09-02 19:05:13,2393741,2501971,86991,86993,10100,1,view,2019-09-02,86991,,0
2019-09-02 19:05:13,2393741,2501971,86991,86992,10100,2,view,2019-09-02,86991,,0
2019-09-02 19:05:13,2393741,2501971,86991,86996,10100,3,view,2019-09-02,86991,,0
2019-09-02 19:05:13,2393741,2501971,86991,86995,10100,4,view,2019-09-02,86991,,0
2019-09-02 19:05:13,2393741,2501971,86991,86998,10100,5,click,2019-09-02,86991,1.0,1
2019-09-02 15:07:54,2453370,3473665,54456,54458,10010,1,click,2019-09-02,54456,1.0,1
2019-09-02 11:31:39,2475623,2389723,86791,86792,10100,1,click,2019-09-02,86791,1.0,1
2019-09-02 20:05:54,2560550,3688652,54872,54874,10100,1,view,2019-09-02,54872,,0
2019-09-02 20:05:54,2560550,3688652,54872,54873,10100,2,click,2019-09-02,54872,1.0,1
2019-09-02 21:11:58,2571569,2506024,54456,54457,10100,1,click,2019-09-02,54456,1.0,1
2019-09-02 12:44:12,2593052,2576065,86991,86996,10100,1,click,2019-09-02,86991,1.0,1
2019-09-02 16:59:10,2634062,2768854,87018,87019,10110,1,click,2019-09-02,87018,1.0,1
2019-09-02 22:25:08,2696733,3690833,54377,54379,10100,1,view,2019-09-02,54377,,0
2019-09-02 22:25:08,2696733,3690833,54377,54378,10100,2,click,2019-09-02,54377,1.0,1
2019-09-02 21:50:11,2716089,3687175,87449,87450,10100,1,click,2019-09-02,87449,1.0,1
2019-09-02 15:56:01,2750020,2695334,86889,86893,10010,1,view,2019-09-02,86889,,0
2019-09-02 15:56:01,2750020,2695334,86889,86895,10100,2,view,2019-09-02,86889,,0
2019-09-02 15:56:01,2750020,2695334,86889,86899,10010,3,view,2019-09-02,86889,,0
2019-09-02 15:56:01,2750020,2695334,86889,86891,10100,4,view,2019-09-02,86889,,0
2019-09-02 15:56:01,2750020,2695334,86889,86890,10010,5,click,2019-09-02,86889,1.0,1
